name,tamil_name,district,location,latitude,longitude,category,dynasty,period,year_built,description,history,architecture,cultural_significance,unesco_site,unesco_criteria,image_url,entry_fee,visiting_hours,best_time_to_visit,wheelchair_accessible,parking_available
Arulmigu Dhandayuthapani Swamy Temple,அருள்மிகு தண்டாயுதபாணி சுவாமி திருக்கோவில்,Palani,Palani,10.4500,77.5167,Temple,Pandya,Ancient Period,900,Famous hill temple dedicated to Lord Murugan,One of the six abodes of Lord Murugan (Arupadaiveedu) with ancient Pandya origins,Hill temple accessed by steps with golden chariot and sanctum,Important Murugan worship center attracting millions of devotees annually,FALSE,,arulmigu_dhandayuthapani_swamy_temple.jpg,Free,5:00 AM - 9:00 PM,Throughout year,FALSE,TRUE
Thiruvannamalai Temple,திருவண்ணாமலை கோவில்,Tiruvannamalai,Thiruvannamalai,12.2314,79.0747,Temple,Chola,Chola Period,1000,One of the Pancha Bhoota Sthalams representing fire,Massive temple complex with 11 gopurams covering 25 acres representing fire element,Largest temple in India by area with towering gopurams and vast prakarams,One of five elemental Shiva temples with great spiritual significance,FALSE,,thiruvannamalai_temple.jpg,Free,5:30 AM - 12:30 PM & 3:30 PM - 9:30 PM,November to February,TRUE,TRUE
Madurai Fort,மதுரை கோட்டை,Madurai,Madurai,9.9252,78.1198,Fort,Nayak,Nayak Period,1550,Ancient fort surrounding Meenakshi Temple,Historic fortification with multiple gates protecting the temple city,Defensive walls and bastions integrated with urban temple architecture,Protected the cultural and religious heart of Madurai,FALSE,,madurai_fort.jpg,Free,Open 24/7,Throughout year,TRUE,TRUE
Vellore Fort,வேலூர் கோட்டை,Vellore,Vellore,12.9165,79.1325,Fort,Vijayanagara,Vijayanagara Period,1566,Grand fort with moat and ramparts,Well-preserved fort with Jalakandeswarar Temple inside and site of Vellore Mutiny,Massive granite walls with wide moat and Vijayanagara military architecture,Important military fortification and site of historical resistance,FALSE,,vellore_fort.jpg,Rs. 25,9:00 AM - 5:00 PM,October to March,TRUE,TRUE
Padmanabhapuram Palace,பத்மநாபபுரம் அரண்மனை,Kanyakumari,Padmanabhapuram,8.2441,77.3250,Palace,Vijayanagara,Travancore Period,1550,Wooden palace showcasing Kerala architecture,Former capital of Travancore kingdom with elaborate wooden architecture,Traditional Kerala wooden palace with murals and intricate woodwork,Represents Kerala architectural heritage and Travancore royal culture,FALSE,,padmanabhapuram_palace.jpg,Rs. 35,9:00 AM - 5:00 PM,November to February,FALSE,TRUE
Kanchipuram Temples,காஞ்சிபுரம் கோவில்கள்,Kanchipuram,Kanchipuram,12.8342,79.7036,Temple,Pallava,Pallava Period,600,City of thousand temples,One of the seven sacred cities in India (Sapta Puri) with Pallava heritage,Multiple temples showcasing evolution of Dravidian temple architecture,Major pilgrimage and silk weaving center with ancient temple tradition,FALSE,,kanchipuram_temples.jpg,Varies,6:00 AM - 8:00 PM,October to March,TRUE,TRUE
Athiranachanda Mandapam,அதிரணசண்ட மண்டபம்,Madurai,Madurai,9.9195,78.1193,Monument,Nayak,Nayak Period,1600,Historic pillared hall with musical pillars,Part of Meenakshi Temple complex featuring acoustically designed musical pillars,Carved pillars producing musical notes when struck demonstrating ancient acoustics,Represents Nayak innovation in temple architecture and music,FALSE,,athiranachanda_mandapam.jpg,Included in temple,Temple hours,October to March,TRUE,TRUE
Thirumalai Quarters,திருமலை காலனி,Thanjavur,Thanjavur,10.7870,79.1390,Archaeological Site,British Colonial,British Period,1800,Colonial era residential quarters,British architectural heritage showcasing colonial town planning,European style residential architecture adapted to tropical climate,Documents British colonial presence and architectural influence,FALSE,,thirumalai_quarters.jpg,Free,Open 24/7,Throughout year,TRUE,TRUE
Chidambaram Nataraja Temple,சிதம்பரம் நடராஜர் கோவில்,Cuddalore,Chidambaram,11.3995,79.6946,Temple,Chola,Chola Period,900,Temple dedicated to Lord Nataraja,One of the five elemental temples representing space (akasha) element,Features the cosmic dance hall with 108 karanas and golden roof,Center of Shaivite worship and classical Tamil culture,FALSE,,chidambaram_nataraja_temple.jpg,Free,6:00 AM - 12:00 PM & 5:00 PM - 10:00 PM,December to February,TRUE,TRUE
Kumbakonam Temples,கும்பகோணம் கோவில்கள்,Thanjavur,Kumbakonam,10.9617,79.3881,Temple,Chola,Chola Period,800,Temple town with multiple ancient temples,Famous for Mahamaham festival held once in 12 years with sacred temple tank,Cluster of temples showcasing Chola architectural variations,Important religious center with astronomical significance in temple design,FALSE,,kumbakonam_temples.jpg,Varies,6:00 AM - 8:00 PM,February-March (Mahamaham),TRUE,TRUE
Thiruchendur Murugan Temple,திருச்செந்தூர் முருகன் கோவில்,Thoothukudi,Thiruchendur,8.4967,78.1206,Temple,Pandya,Pandya Period,900,Seaside temple dedicated to Lord Murugan,One of the six abodes of Murugan built on seashore with Pandya origins,Unique coastal temple with sanctum close to sea waves,Sacred Murugan shrine associated with his victory over demon Surapadman,FALSE,,thiruchendur_murugan_temple.jpg,Free,4:30 AM - 9:00 PM,Throughout year,TRUE,TRUE
Srirangam Temple,ஸ்ரீரங்கம் கோவில்,Tiruchirappalli,Srirangam,10.8629,78.6917,Temple,Chola,Chola Period,984,Largest functioning Hindu temple in world,Dedicated to Lord Ranganatha covering 156 acres with seven concentric walls,Massive temple complex demonstrating evolution of Dravidian architecture,Primary shrine of Sri Vaishnavism and one of 108 Divya Desams,FALSE,,srirangam_temple.jpg,Free,6:00 AM - 1:00 PM & 3:30 PM - 9:00 PM,December to February,TRUE,TRUE
Courtallam Falls,கூற்றாலம் அருவி,Tenkasi,Courtallam,8.9324,77.2847,Natural Heritage,Pandya,Ancient,Ancient,Scenic waterfalls known as Spa of South India,Nine different waterfalls in the area with medicinal properties in water,Natural waterfalls cascading from Western Ghats with therapeutic waters,Popular natural health resort and monsoon tourist destination,FALSE,,courtallam_falls.jpg,Free,6:00 AM - 6:00 PM,June to September,FALSE,TRUE
Poompuhar,பூம்புகார்,Mayiladuthurai,Poompuhar,11.1500,79.8500,Archaeological Site,Chola,Sangam Period,100,Ancient port city of Chola kingdom,Archaeological site with maritime history mentioned in Sangam literature,Remains of ancient port city with evidence of trade with Rome,Represents Tamil maritime trade heritage and Sangam age civilization,FALSE,,poompuhar.jpg,Rs. 20,9:00 AM - 5:00 PM,November to February,TRUE,TRUE
Thiruparankundram Temple,திருப்பரங்குன்றம் கோவில்,Madurai,Thiruparankundram,9.8750,78.0750,Temple,Pandya,Pandya Period,900,Rock-cut temple dedicated to Lord Murugan,One of the six abodes of Murugan with ancient Pandya rock-cut architecture,Cave temple carved into hillside with natural rock formations,First of six houses of Murugan where he married Devasena,FALSE,,thiruparankundram_temple.jpg,Free,5:30 AM - 9:00 PM,Throughout year,FALSE,TRUE
Gingee Fort,ஜின்ஜி கோட்டை,Villupuram,Gingee,12.2500,79.4167,Fort,Vijayanagara,Vijayanagara Period,1190,Hill fort complex on three hills,Known as Troy of the East by British for its impregnability,Three citadels on separate hills with advanced fortification techniques,Unconquered fort representing Vijayanagara military architecture,FALSE,,gingee_fort.jpg,Rs. 25,9:00 AM - 5:00 PM,October to March,FALSE,TRUE
Swamimalai Murugan Temple,சுவாமிமலை முருகன் கோவில்,Thanjavur,Swamimalai,10.9667,79.3500,Temple,Chola,Chola Period,900,Temple where Murugan taught Om to Shiva,One of the six abodes of Murugan known for bronze idol making tradition,Hilltop temple with 60 steps representing 60 Tamil years,Center of traditional bronze casting and Murugan worship,FALSE,,swamimalai_murugan_temple.jpg,Free,5:30 AM - 9:00 PM,Throughout year,FALSE,TRUE
Thirukkalukkunram,திருக்கழுக்குன்றம்,Kanchipuram,Thirukkalukkunram,12.4833,79.9833,Temple,Pallava,Pallava Period,800,Hill temple visited by eagles daily,Temple dedicated to Lord Shiva with legend of two eagles visiting daily,Rock temple on hilltop demonstrating Pallava architecture,Unique temple with daily eagle visitation legend,FALSE,,thirukkalukkunram.jpg,Free,6:00 AM - 8:00 PM,Throughout year,FALSE,TRUE
Alamparai Fort,ஆலம்பாறை கோட்டை,Kanchipuram,Kadappakkam,12.2333,80.0167,Fort,Vijayanagara,Mughal Period,1735,Seaside fort ruins,Coastal fortification built by Nawab of Arcot for maritime trade,Ruined sea fort with bastions overlooking Bay of Bengal,Represents Mughal coastal defense and trade architecture,FALSE,,alamparai_fort.jpg,Free,Open 24/7,November to February,FALSE,FALSE
Thiruvarur Temple,திருவாரூர் கோவில்,Thiruvarur,Thiruvarur,10.7667,79.6333,Temple,Chola,Chola Period,900,Ancient temple with massive chariot,One of the Sapta Vidangam temples with largest temple chariot in Asia,Features huge wooden chariot used in annual festival,Birthplace of Saint Thyagaraja and important Shaivite center,FALSE,,thiruvarur_temple.jpg,Free,6:00 AM - 12:00 PM & 4:00 PM - 9:00 PM,March-April (chariot festival),TRUE,TRUE
Pazhaverkadu Fort,பழவேற்காடு கோட்டை,Tiruvallur,Pulicat,13.4167,80.3167,Fort,Dutch,Dutch Colonial,1609,Dutch fort at Pulicat,Historic Dutch settlement and trading post on Pulicat Lake,Colonial fort architecture with Dutch architectural elements,Represents Dutch colonial presence in South India,FALSE,,pazhaverkadu_fort.jpg,Free,9:00 AM - 5:00 PM,November to February,TRUE,TRUE
Auroville,ஆரோவில்,Viluppuram,Auroville,12.0067,79.8100,Monument,French Colonial,Modern Period,1968,International township and experimental community,Universal town promoting human unity founded by The Mother,Matrimandir and experimental township with unique architecture,Symbol of international cooperation and spiritual exploration,FALSE,,auroville.jpg,Free,9:00 AM - 5:00 PM,October to March,TRUE,TRUE
Tranquebar Fort,தரங்கம்பாடி கோட்டை,Mayiladuthurai,Tranquebar,11.0333,79.8500,Fort,Danish,Danish Colonial,1620,Danish colonial fort,Historic Danish settlement with museum and preserved colonial buildings,Danish colonial architecture with fort and Lutheran church,First Danish settlement in India representing colonial heritage,FALSE,,tranquebar_fort.jpg,Rs. 25,9:00 AM - 5:00 PM,November to February,TRUE,TRUE
Kallanai Dam,கல்லணை,Tiruchirappalli,Trichy,10.9333,78.7667,Monument,Chola,Chola Period,100,Ancient dam built across Kaveri river,One of the oldest water-diversion structures in world built by Karikala Chola,Ancient stone dam still functioning after 2000 years,Engineering marvel demonstrating ancient Tamil hydraulic knowledge,FALSE,,kallanai_dam.jpg,Free,Open 24/7,Throughout year,TRUE,TRUE
Thirukkuvalai Temple,திருக்குவளை கோவில்,Nagapattinam,Thirukkuvalai,10.7833,79.5500,Temple,Chola,Chola Period,900,Ancient temple dedicated to Lord Shiva,One of the 275 Paadal Petra Sthalams sung by Nayanmars,Chola period temple with traditional gopuram and prakaram,Sacred Shaivite shrine with Tevaram hymns,FALSE,,thirukkuvalai_temple.jpg,Free,6:00 AM - 8:00 PM,Throughout year,TRUE,TRUE
Vaitheeswaran Koil,வைத்தீஸ்வரன் கோவில்,Mayiladuthurai,Vaitheeswaran Koil,11.0667,79.6333,Temple,Chola,Chola Period,900,Temple dedicated to Lord Shiva as divine physician,Famous for Nadi astrology and healing deity worship,Temple tank believed to have healing properties,Navagraha temple representing Mars with astrological significance,FALSE,,vaitheeswaran_koil.jpg,Free,6:00 AM - 12:00 PM & 4:00 PM - 9:00 PM,Throughout year,TRUE,TRUE
Thirumayam Fort,திருமயம் கோட்டை,Pudukkottai,Thirumayam,10.2667,78.7500,Fort,Nayak,Nayak Period,1687,Hill fort with rock-cut temple,Fort built by Raja Vijaya Raghunatha Sethupathi with Shiva temple,Rock fort with Vijayanagara style fortifications and temple,Combines military architecture with religious sanctity,FALSE,,thirumayam_fort.jpg,Rs. 15,9:00 AM - 5:00 PM,October to March,FALSE,TRUE
Yercaud,ஏற்காடு,Salem,Yercaud,11.7783,78.2022,Natural Heritage,British Colonial,Colonial Period,Ancient,Hill station with coffee plantations,Scenic hill town in Shevaroy Hills developed during British era,Hill station with lake and viewpoints in Eastern Ghats,Popular tourist destination with pleasant climate year-round,FALSE,,yercaud.jpg,Free,Open 24/7,October to June,TRUE,TRUE
Marudamalai Temple,மருதமலை கோவில்,Coimbatore,Marudamalai,11.0500,76.8167,Temple,Pandya,Ancient Period,1200,Hill temple dedicated to Lord Murugan,Temple situated on Western Ghats amidst natural beauty,Hilltop temple with traditional Dravidian architecture,Important Murugan shrine in Kongu region,FALSE,,marudamalai_temple.jpg,Free,5:00 AM - 9:00 PM,Throughout year,FALSE,TRUE
Karikudi Palace,காரைக்குடி அரண்மனை,Sivaganga,Karaikudi,10.0667,78.7667,Palace,Vijayanagara,Chettinad Period,1902,Traditional Chettinad mansion,Showcases Chettinad architecture and merchant community heritage,Pillared courtyard mansion with imported materials and local craftsmanship,Represents Chettinad mercantile wealth and architectural tradition,FALSE,,karikudi_palace.jpg,Rs. 50,9:00 AM - 6:00 PM,October to March,TRUE,TRUE
Ramanathaswamy Temple Corridor,இராமநாதசுவாமி கோவில் தாழ்வாரம்,Ramanathapuram,Rameswaram,9.2881,79.3129,Temple,Pandya,Nayak Period,1600,Longest corridor in any Hindu temple,1212 meter long ornate corridor with sculpted pillars,Architectural marvel with 1000+ carved pillars in continuous corridor,Represents pinnacle of corridor architecture in Hindu temples,FALSE,,ramanathaswamy_temple_corridor.jpg,Free,Temple hours,October to March,TRUE,TRUE
Nagore Dargah,நாகூர் தர்கா,Nagapattinam,Nagore,10.7667,79.8333,Monument,Vijayanagara,Mughal Period,1650,Islamic shrine with architectural grandeur,Important pilgrimage site with annual Kanduri festival,Indo-Islamic architecture with minarets and decorative elements,Represents syncretic religious culture of Tamil Nadu,FALSE,,nagore_dargah.jpg,Free,Open all day,Throughout year,TRUE,TRUE
Thiruporur Temple,திருப்போரூர் கோவில்,Chengalpattu,Thiruporur,12.7500,80.1833,Temple,Pallava,Pallava Period,700,Ancient temple with Pallava architecture,Temple dedicated to Lord Murugan with Pallava origins,Rock-cut sections with later additions showing architectural evolution,Sacred shrine mentioned in ancient Tamil literature,FALSE,,thiruporur_temple.jpg,Free,6:00 AM - 8:00 PM,Throughout year,TRUE,TRUE
Tirunelveli Nellaiappar Temple,திருநெல்வேலி நெல்லையப்பர் கோவில்,Tirunelveli,Tirunelveli,8.7333,77.7000,Temple,Pandya,Pandya Period,700,Large temple complex with musical pillars,Twin temple for Shiva and Parvati with ancient Pandya heritage,Dravidian architecture with musical pillars and temple tank,Important Shaivite center in southern Tamil Nadu,FALSE,,tirunelveli_nellaiappar_temple.jpg,Free,5:30 AM - 12:30 PM & 4:00 PM - 9:30 PM,Throughout year,TRUE,TRUE
Kazhugumalai,கழுகுமலை,Thoothukudi,Kazhugumalai,9.1500,77.7000,Monument,Pandya,Pandya Period,800,Rock-cut Jain temple,Ancient Jain monolithic temple showcasing Pandya rock-cutting skills,Unfinished Jain temple carved from single rock,Important Jain heritage site in Tamil Nadu,FALSE,,kazhugumalai.jpg,Free,6:00 AM - 6:00 PM,October to March,FALSE,FALSE
Thiruvenkadu Temple,திருவெண்காடு கோவில்,Nagapattinam,Thiruvenkadu,10.9500,79.5667,Temple,Chola,Chola Period,900,Temple dedicated to Lord Shiva,One of the nine Navagraha temples representing Mercury,Chola architecture with Navagraha shrine and traditional layout,Important astrological pilgrimage temple,FALSE,,thiruvenkadu_temple.jpg,Free,6:00 AM - 12:00 PM & 4:00 PM - 8:00 PM,Throughout year,TRUE,TRUE
Sarangapani Temple,சாரங்கபாணி கோவில்,Thanjavur,Kumbakonam,10.9617,79.3881,Temple,Chola,Chola Period,900,Large Vishnu temple with 11-tier gopuram,One of the Divya Desams with towering gopuram,Massive Dravidian temple with chariot-shaped sanctum,Important Vaishnavite shrine in Kumbakonam,FALSE,,sarangapani_temple.jpg,Free,6:00 AM - 12:00 PM & 4:00 PM - 9:00 PM,December to February,TRUE,TRUE
Thirumala Temple,திருமலா கோவில்,Tiruchirappalli,Srirangam,10.8667,78.6833,Temple,Chola,Chola Period,900,Temple atop hill near Srirangam,Temple dedicated to Lord Ranganatha with panoramic views,Hilltop temple with steps and traditional Dravidian architecture,Sacred Vaishnavite shrine overlooking Kaveri river,FALSE,,thirumala_temple.jpg,Free,6:00 AM - 8:00 PM,Throughout year,FALSE,TRUE
Thiruvellarai Temple,திருவெள்ளறை கோவில்,Tiruchirappalli,Thiruvellarai,10.7833,78.6333,Temple,Chola,Chola Period,900,Ancient temple with exquisite sculptures,One of the 108 Divya Desams with fine sculptural work,Chola architecture with detailed stone carvings and bronzes,Important Vaishnavite temple with artistic significance,FALSE,,thiruvellarai_temple.jpg,Free,6:00 AM - 12:00 PM & 4:00 PM - 8:00 PM,Throughout year,TRUE,TRUE
Srivilliputhur Andal Temple,ஸ்ரீவில்லிபுத்தூர் ஆண்டாள் கோவில்,Virudhunagar,Srivilliputhur,9.5117,77.6329,Temple,Pandya,Medieval,1300,Famous for its 11-tiered rajagopuram featured in Tamil Nadu government emblem.,"Birthplace of Saint Andal, the only female Alvar.",Tallest gopuram in Tamil Nadu at 192 feet.,Important Vaishnava pilgrimage site.,FALSE,,srivilliputhur_andal_temple.jpg,Free,"6:00 AM - 12:00 PM, 4:00 PM - 8:30 PM",December to March,TRUE,TRUE
Nellaiappar Temple,நெல்லையப்பர் கோவில்,Tirunelveli,Tirunelveli City,8.7139,77.6890,Temple,Pandya,Medieval,1400,Twin temple dedicated to Shiva and Parvati with musical pillars.,Mentioned in 7th century Tevaram hymns.,Features 1000-pillar mandapam with musical stone pillars.,Known for its celestial wedding festival.,FALSE,,nellaiappar_temple.jpg,Free,"6:00 AM - 12:00 PM, 4:00 PM - 9:00 PM",October to March,FALSE,TRUE
Nataraja Temple Chidambaram,நடராஜர் கோவில் சிதம்பரம்,Cuddalore,Chidambaram Town,11.3995,79.6946,Temple,Chola,Medieval,1000,Sacred temple where Lord Shiva performed cosmic dance.,One of the holiest Shiva temples in South India.,Famous for Chit Sabha with golden roof and Pancha Sabhai.,Represents the element of space in Pancha Bhoota Stalams.,FALSE,,nataraja_temple_chidambaram.jpg,₹10,"6:00 AM - 12:00 PM, 5:00 PM - 10:00 PM",December to February,FALSE,TRUE
Kumbakonam Mahamaham Tank,கும்பகோணம் மகாமகம் குளம்,Thanjavur,Kumbakonam,10.9617,79.3881,Monument,Chola,Medieval,1000,Sacred temple tank where bathing festival occurs once in 12 years.,Site of the great Mahamaham festival attracting millions.,Square tank with 16 gopurams and 20 wells.,One of the holiest water bodies in Hinduism.,FALSE,,kumbakonam_mahamaham_tank.jpg,Free,Open 24 hours,During Mahamaham festival (once in 12 years),TRUE,TRUE
Tanjore Art Gallery,தஞ்சாவூர் கலை கூடம்,Thanjavur,Thanjavur Palace Complex,10.7870,79.1378,Museum,Nayak,Early Modern,1600,Art gallery showcasing bronze sculptures and Chola period artifacts.,Part of the Thanjavur Maratha Palace complex.,Traditional South Indian palace architecture.,Houses one of the finest collections of Chola bronzes.,FALSE,,tanjore_art_gallery.jpg,₹50,"9:00 AM - 6:00 PM, closed on Fridays",Throughout the year,TRUE,TRUE
Swamimalai Bronze Workshop,சுவாமிமலை வெண்கல பட்டறை,Thanjavur,Swamimalai,10.9556,79.3506,Archaeological Site,Chola,Medieval,1000,Traditional bronze casting workshops using lost-wax technique.,Continuing the Chola tradition of bronze sculpture for over 1000 years.,Traditional workshop architecture with furnaces.,UNESCO recognized intangible cultural heritage craft.,FALSE,,swamimalai_bronze_workshop.jpg,₹100 (workshop tour),9:00 AM - 5:00 PM,Throughout the year,FALSE,TRUE
Vedanthangal Bird Sanctuary,வேடாந்தாங்கல் பறவைகள் சரணாலயம்,Kanchipuram,Kanchipuram District,12.55,79.85,Natural Heritage,British Colonial,Medieval,1500,Historic natural heritage site in Kanchipuram district.,Built during the Kanchipuram region's historical period.,Traditional natural heritage architecture of Tamil Nadu.,Important heritage site in Kanchipuram.,FALSE,,vedanthangal_bird_sanctuary.jpg,Free,6:00 AM - 6:00 PM,October to March,FALSE,TRUE
Hogenakkal Falls,ஓகேனக்கல் அருவி,Dharmapuri,Dharmapuri District,12.12,77.78,Natural Heritage,British Colonial,Medieval,1510,Historic natural heritage site in Dharmapuri district.,Built during the Dharmapuri region's historical period.,Traditional natural heritage architecture of Tamil Nadu.,Important heritage site in Dharmapuri.,FALSE,,hogenakkal_falls.jpg,Free,6:00 AM - 6:00 PM,October to March,FALSE,TRUE
Kanyakumari Vivekananda Memorial,கன்னியாகுமரி விவேகானந்தர் நினைவிடம்,Kanyakumari,Kanyakumari District,8.0779,77.5653,Monument,British Colonial,Medieval,1520,Historic monument site in Kanyakumari district.,Built during the Kanyakumari region's historical period.,Traditional monument architecture of Tamil Nadu.,Important heritage site in Kanyakumari.,FALSE,,kanyakumari_vivekananda_memorial.jpg,Free,9:00 AM - 5:00 PM,October to March,TRUE,TRUE
Dhanushkodi Ghost Town,தனுஷ்கோடி,Ramanathapuram,Ramanathapuram District,9.171,79.4249,Archaeological Site,British Colonial,Medieval,1530,Historic archaeological site site in Ramanathapuram district.,Built during the Ramanathapuram region's historical period.,Traditional archaeological site architecture of Tamil Nadu.,Important heritage site in Ramanathapuram.,FALSE,,dhanushkodi_ghost_town.jpg,Free,9:00 AM - 5:00 PM,October to March,FALSE,TRUE
Kolli Hills Temple,கொல்லிமலை கோவில்,Namakkal,Namakkal District,11.39,78.32,Temple,Chola,Medieval,1540,Historic temple site in Namakkal district.,Built during the Namakkal region's historical period.,Traditional temple architecture of Tamil Nadu.,Important heritage site in Namakkal.,FALSE,,kolli_hills_temple.jpg,Free,9:00 AM - 5:00 PM,October to March,FALSE,TRUE
Yercaud Lake,ஏற்காடு ஏரி,Salem,Salem District,11.7767,78.2028,Natural Heritage,British Colonial,Medieval,1550,Historic natural heritage site in Salem district.,Built during the Salem region's historical period.,Traditional natural heritage architecture of Tamil Nadu.,Important heritage site in Salem.,FALSE,,yercaud_lake.jpg,Free,6:00 AM - 6:00 PM,October to March,FALSE,TRUE
Kodaikanal Observatory,கொடைக்கானல் வான்வெளி ஆய்வகம்,Dindigul,Dindigul District,10.2381,77.4686,Monument,British Colonial,Medieval,1560,Historic monument site in Dindigul district.,Built during the Dindigul region's historical period.,Traditional monument architecture of Tamil Nadu.,Important heritage site in Dindigul.,FALSE,,kodaikanal_observatory.jpg,Free,9:00 AM - 5:00 PM,October to March,TRUE,TRUE
Sittannavasal Cave,சிட்டன்னவாசல் குகை,Pudukottai,Pudukottai District,10.4333,78.8167,Archaeological Site,British Colonial,Medieval,1570,Historic archaeological site site in Pudukottai district.,Built during the Pudukottai region's historical period.,Traditional archaeological site architecture of Tamil Nadu.,Important heritage site in Pudukottai.,FALSE,,sittannavasal_cave.jpg,Free,9:00 AM - 5:00 PM,October to March,FALSE,TRUE
